home_team,away_team,home_score,away_score,start_date
Pennsylvania State University,West Chester University of Pennsylvania,5,0,08-25-2024
Providence College,University of Wisconsin-Madison,0,2,08-25-2024
Michigan State University,Ohio University,3,0,08-25-2024
"University of Massachusetts, Amherst","Rutgers, The State University of New Jersey, New Brunswick",1,0,08-25-2024
Purdue University,University of Illinois Chicago,2,0,08-25-2024
Virginia Commonwealth University,North Carolina State University,0,5,08-25-2024
University of Louisiana at Lafayette,Florida Atlantic University,0,0,08-25-2024
Eastern Kentucky University,University of Southern Indiana,1,0,08-25-2024
University of Akron,Wright State University,1,0,08-25-2024
Monmouth University,Virginia Polytechnic Institute and State University,1,1,08-25-2024
University of Notre Dame,Texas Christian University,4,0,08-25-2024
Indiana State University,Robert Morris University,4,0,08-25-2024
Hofstra University,Yale University,2,1,08-25-2024
Eastern Michigan University,Youngstown State University,2,0,08-25-2024
Boston College,Long Island University,6,0,08-25-2024
Central Michigan University,University of Cincinnati,2,1,08-25-2024
"University of Tennessee, Knoxville",Lipscomb University,3,0,08-25-2024
Georgetown University,Sacred Heart University,2,0,08-25-2024
University of South Florida,Florida Gulf Coast University,4,0,08-25-2024
Furman University,Davidson College,1,2,08-25-2024
Morehead State University,University of Detroit Mercy,1,0,08-25-2024
U.S. Military Academy,Central Connecticut State University,2,0,08-25-2024
University of Vermont,Boston University,2,2,08-25-2024
St. Bonaventure University,Binghamton University,1,1,08-25-2024
East Tennessee State University,Liberty University,1,3,08-25-2024
Western Michigan University,Marquette University,3,0,08-25-2024
Old Dominion University,University of North Carolina Wilmington,2,0,08-25-2024
University of Kentucky,Jacksonville State University,4,1,08-25-2024
Marist College,Bryant University,0,1,08-25-2024
Jacksonville University,Florida International University,0,3,08-25-2024
Syracuse University,Mercyhurst University,5,0,08-25-2024
Bucknell University,University of Pittsburgh,1,5,08-25-2024
College of the Holy Cross,University of Massachusetts Lowell,1,0,08-25-2024
Fordham University,University at Albany,4,2,08-25-2024
Kent State University,Oakland University,4,0,08-25-2024
Western Carolina University,Longwood University,2,2,08-25-2024
University of Virginia,Utah Valley University,5,0,08-25-2024
University of Rhode Island,University of Maine,0,1,08-25-2024
Cleveland State University,Saint Joseph's University,0,3,08-25-2024
University of North Texas,Prairie View A&M University,9,0,08-25-2024
University of Texas at Austin,University of Iowa,0,0,08-25-2024
University of St. Thomas (Minnesota),"University of Minnesota, Twin Cities",1,4,08-25-2024
Northwestern University,University of Toledo,1,0,08-25-2024
University of Illinois Urbana-Champaign,Illinois State University,4,0,08-25-2024
"California State University, Bakersfield",Weber State University,2,1,08-25-2024
University of Wyoming,South Dakota State University,0,3,08-25-2024
Texas A&M University-Corpus Christi,Sam Houston State University,2,1,08-25-2024
Vanderbilt University,Saint Mary's College of California,4,1,08-25-2024
Southern Illinois University at Carbondale,Indiana University Indianapolis,3,1,08-25-2024
University of Louisiana Monroe,Nicholls State University,4,0,08-25-2024
Arkansas State University,Murray State University,0,0,08-25-2024
"University of Arkansas, Fayetteville",Northwestern State University,10,0,08-25-2024
Drake University,Butler University,3,5,08-25-2024
Valparaiso University,University of Wisconsin-Milwaukee,2,1,08-25-2024
University of South Dakota,Eastern Washington University,0,2,08-25-2024
Tarleton State University,University of Houston,0,1,08-25-2024
Southeastern Louisiana University,University of South Alabama,1,2,08-25-2024
University of Central Arkansas,Oklahoma State University,0,4,08-25-2024
Radford University,South Carolina State University,8,0,08-25-2024
University of North Dakota,Alabama State University,7,0,08-25-2024
Missouri State University,Southern Illinois University Edwardsville,0,0,08-25-2024
Mercer University,University of North Carolina Asheville,4,0,08-25-2024
Wake Forest University,Mississippi State University,2,1,08-25-2024
University of Richmond,Howard University,1,0,08-25-2024
