team,wins,losses,draws,wp,owp,oowp,rpi
Temple University,2,16,3,0.17,0.54,0.5,0.44
Texas A&M University-Corpus Christi,8,8,6,0.5,0.41,0.46,0.44
The Citadel,5,9,6,0.4,0.46,0.45,0.44
"University of California, Santa Barbara",4,9,9,0.39,0.44,0.49,0.44
University of Richmond,5,11,5,0.36,0.46,0.49,0.44
University of Southern Indiana,4,9,8,0.38,0.47,0.46,0.44
Wofford College,6,13,4,0.35,0.48,0.46,0.44
American University,4,10,4,0.33,0.44,0.5,0.43
Berry College,0,1,0,0.0,0.65,0.43,0.43
"California State University, Bakersfield",4,12,4,0.3,0.48,0.47,0.43
"California State University, Northridge",2,16,5,0.2,0.52,0.48,0.43
"California State University, Sacramento",5,10,6,0.38,0.45,0.46,0.43
Coastal Carolina University,3,14,3,0.23,0.5,0.51,0.43
Davidson College,5,11,2,0.33,0.46,0.47,0.43
East Texas Baptist University,0,1,0,0.0,0.65,0.42,0.43
George Washington University,5,13,3,0.31,0.47,0.47,0.43
Howard University,13,7,4,0.62,0.33,0.46,0.43
Jacksonville State University,7,10,2,0.42,0.41,0.48,0.43
Manhattan College,4,7,4,0.4,0.44,0.44,0.43
Portland State University,8,11,2,0.43,0.4,0.49,0.43
Presbyterian College,5,10,3,0.36,0.46,0.45,0.43
"Southern University, Baton Rouge",8,10,4,0.45,0.42,0.45,0.43
Stephen F. Austin State University,2,15,4,0.19,0.51,0.5,0.43
University of Akron,5,14,2,0.29,0.47,0.48,0.43
University of Findlay,0,1,0,0.0,0.6,0.52,0.43
University of San Diego,1,17,3,0.12,0.55,0.51,0.43
University of the Incarnate Word,7,10,3,0.42,0.41,0.47,0.43
Central Baptist,0,0,1,0.5,0.43,0.34,0.42
Cleveland State University,4,13,3,0.28,0.46,0.47,0.42
Eastern Illinois University,5,11,5,0.36,0.44,0.45,0.42
Eastern Washington University,4,15,1,0.23,0.5,0.46,0.42
George Mason University,3,17,2,0.18,0.51,0.49,0.42
Jackson State University,10,11,0,0.48,0.39,0.43,0.42
