team,wins,losses,draws,wp,owp,oowp,rpi
Purdue University Fort Wayne,1,0,1,0.75,0.0,0.75,0.38
Saint Mary's College of California,1,1,1,0.5,0.25,0.51,0.38
Sam Houston State University,0,0,1,0.5,0.5,0.0,0.38
Samford University,1,1,1,0.5,0.25,0.51,0.38
Southeastern Louisiana University,0,0,1,0.5,0.0,1.0,0.38
Towson University,1,0,1,0.75,0.0,0.75,0.38
University of Arkansas at Little Rock,0,0,1,0.5,0.5,0.0,0.38
"University of California, Berkeley",1,1,1,0.5,0.33,0.37,0.38
University of Connecticut,0,1,1,0.25,0.5,0.25,0.38
"University of Maryland, College Park",0,1,1,0.25,0.5,0.25,0.38
Alabama A&M University,0,3,0,0.0,0.67,0.13,0.37
U.S. Naval Academy,1,2,0,0.33,0.33,0.5,0.37
Kansas State University,1,1,0,0.5,0.25,0.46,0.36
Northern Illinois University,1,0,1,0.75,0.0,0.69,0.36
"University of Nevada, Las Vegas",1,1,0,0.5,0.25,0.46,0.36
University of Richmond,1,0,1,0.75,0.0,0.69,0.36
McNeese State University,1,2,0,0.33,0.38,0.29,0.35
Northwestern State University,0,2,0,0.0,0.5,0.42,0.35
Seattle University,0,1,1,0.25,0.5,0.17,0.35
Stetson University,2,1,0,0.67,0.0,0.75,0.35
Texas Southern University,1,1,0,0.5,0.25,0.42,0.35
Texas Tech University,2,1,0,0.67,0.0,0.72,0.35
University of Tennessee at Chattanooga,0,2,1,0.17,0.33,0.57,0.35
William & Mary,0,2,0,0.0,0.5,0.42,0.35
La Salle University,1,0,1,0.75,0.0,0.62,0.34
Morehead State University,1,0,1,0.75,0.0,0.62,0.34
Prairie View A&M University,1,1,0,0.5,0.25,0.36,0.34
Southern Utah University,0,3,0,0.0,0.42,0.53,0.34
University of Toledo,0,1,1,0.25,0.5,0.12,0.34
Austin College,0,1,0,0.0,0.5,0.33,0.33
East Tennessee State University,1,2,0,0.33,0.25,0.47,0.33
Boise State University,1,0,0,1.0,0.0,0.25,0.31
